latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-18.9249,14.6833,363.6,1.5,1.2,2015-08-24,0902,Terra,MODIS,100,6.03,306.8,159.9,D,0
-18.9677,14.8664,318.8,1.5,1.2,2015-08-24,0902,Terra,MODIS,42,6.03,303.8,11,D,0
-18.9468,14.6792,340.9,1.5,1.2,2015-08-24,0902,Terra,MODIS,90,6.03,302.7,65.3,D,0
-18.9493,14.6937,417.8,1.5,1.2,2015-08-24,0902,Terra,MODIS,100,6.03,317.4,687.1,D,0
-18.9518,14.7081,358.5,1.5,1.2,2015-08-24,0902,Terra,MODIS,99,6.03,308.6,132.7,D,0
-18.9602,14.6916,319.4,1.5,1.2,2015-08-24,0902,Terra,MODIS,61,6.03,302.2,13.9,D,0
-18.9627,14.706,318.8,1.5,1.2,2015-08-24,0902,Terra,MODIS,41,6.03,302.7,12.1,D,0
-19.0088,14.9023,320.3,3.6,1.8,2015-08-24,1325,Aqua,MODIS,55,6.03,303.7,41.9,D,0
-18.993,14.8988,325.6,3.6,1.8,2015-08-24,1325,Aqua,MODIS,53,6.03,305.1,69.7,D,0
-19.0243,14.6648,338.1,3.4,1.7,2015-08-24,1325,Aqua,MODIS,87,6.03,304.9,178,D,0
-19.0308,14.6326,341.2,3.4,1.7,2015-08-24,1325,Aqua,MODIS,89,6.03,302.8,207.3,D,0
-18.9998,14.8923,327.5,3.6,1.8,2015-08-24,1325,Aqua,MODIS,73,6.03,305,85.8,D,0
-19.0231,14.6903,319.9,3.5,1.8,2015-08-24,1325,Aqua,MODIS,15,6.03,304.4,41,D,0
-19.0294,14.6579,331.8,3.4,1.7,2015-08-24,1325,Aqua,MODIS,82,6.03,303.6,130.2,D,0
-19.0358,14.6256,322,3.4,1.7,2015-08-24,1325,Aqua,MODIS,68,6.03,301.4,59.5,D,0
-19.0075,14.6868,329.9,3.5,1.8,2015-08-24,1325,Aqua,MODIS,41,6.03,306.3,93,D,0
-19.0139,14.6544,343.3,3.4,1.7,2015-08-24,1325,Aqua,MODIS,88,6.03,306.4,212.7,D,0
-19.0203,14.6221,373.1,3.4,1.7,2015-08-24,1325,Aqua,MODIS,100,6.03,306.9,680.8,D,0
-19.0266,14.59,330.3,3.4,1.7,2015-08-24,1325,Aqua,MODIS,53,6.03,304.3,102.1,D,0
-18.9984,14.6509,344.4,3.4,1.7,2015-08-24,1325,Aqua,MODIS,90,6.03,307.7,209.9,D,0
-19.0048,14.6187,355.6,3.4,1.7,2015-08-24,1325,Aqua,MODIS,97,6.03,307.3,357.1,D,0
-18.9893,14.6152,335.9,3.4,1.7,2015-08-24,1325,Aqua,MODIS,82,6.03,306.5,134.3,D,0
-18.9738,14.6118,337.2,3.4,1.7,2015-08-24,1325,Aqua,MODIS,82,6.03,306.6,140.5,D,0
-18.9803,14.5797,331,3.4,1.7,2015-08-24,1325,Aqua,MODIS,45,6.03,306.2,94.3,D,0
-18.8913,14.9388,322,3.6,1.8,2015-08-24,1325,Aqua,MODIS,55,6.03,305.7,38.9,D,0
-18.9961,14.6121,336.2,3.4,1.7,2015-08-24,1325,Aqua,MODIS,49,6.03,306.7,123,D,0
-18.9806,14.6086,342.9,3.4,1.7,2015-08-24,1325,Aqua,MODIS,90,6.03,306.6,192,D,0
-18.8846,14.9326,322.3,3.6,1.8,2015-08-24,1325,Aqua,MODIS,50,6.03,306.3,38.5,D,0
-18.7784,14.8303,336.9,3.6,1.8,2015-08-24,1325,Aqua,MODIS,86,6.03,307.1,160.5,D,0
-18.7851,14.7968,331.8,3.6,1.8,2015-08-24,1325,Aqua,MODIS,81,6.03,308.3,110.8,D,0
-18.7713,14.8243,330.1,3.6,1.8,2015-08-24,1325,Aqua,MODIS,79,6.03,307.2,99.5,D,0
-19.0129,14.59,345.7,1.1,1,2015-08-25,0019,Aqua,MODIS,100,6.03,292.1,58.3,N,0
-19.0114,14.5799,395.9,1.1,1,2015-08-25,0019,Aqua,MODIS,100,6.03,298.4,253.3,N,0
-19.0486,14.8813,314.5,1,1,2015-08-25,0019,Aqua,MODIS,39,6.03,290.8,13.2,N,0
-19.0021,14.5815,327.6,1.1,1,2015-08-25,0019,Aqua,MODIS,84,6.03,290.2,28.7,N,0
