row,col,lat,lon,fire_count,ndvi,r_f,r_p,risk,lambda_drones,lambda_rangers,lambda_sensors,c_drones,c_rangers,c_sensors,coverage,protection,protection_uniform,in_pan
1,25,-19.4324,15.6648,0,1.0,0.509498,0.488157,0.498713,0.6457,0.6308,0.4304,0.0,0.0,0.1,0.04304,0.082683,0.209729,False
1,26,-19.4324,15.7125,0,1.0,0.504948,0.499759,0.502347,0.6391,0.6355,0.4334,0.0,0.0,0.1,0.043335,0.082649,0.209483,False
1,27,-19.4324,15.7601,0,1.0,0.500452,0.485875,0.493109,0.643,0.6327,0.4316,0.0,0.0,0.1,0.043161,0.083807,0.212298,False
1,28,-19.4324,15.8078,0,1.0,0.496009,0.461759,0.478578,0.6515,0.6265,0.4277,0.0,0.0,0.1,0.042775,0.085501,0.216486,False
1,29,-19.4324,15.8554,0,1.0,0.491617,0.494227,0.49292,0.6359,0.6377,0.4348,0.0,0.0,0.1,0.043476,0.084422,0.213559,False
1,30,-19.4324,15.903,0,1.0,0.487275,0.506999,0.497039,0.6288,0.6426,0.4378,0.0,0.0,0.1,0.04378,0.084314,0.213132,False
1,31,-19.4324,15.9507,0,1.0,0.482981,0.501913,0.492356,0.6291,0.6424,0.4377,0.0,0.0,0.1,0.043769,0.085061,0.214884,False
1,32,-19.4324,15.9983,0,1.0,0.478734,0.472932,0.475824,0.6394,0.6352,0.4332,0.0,0.0,0.1,0.043318,0.087018,0.219708,False
1,33,-19.4324,16.046,0,1.0,0.474532,0.421693,0.447333,0.661,0.6196,0.4234,0.0,0.0,0.2,0.084675,0.172452,0.227933,False
1,34,-19.4324,16.0936,0,1.0,0.470375,0.367162,0.415576,0.6869,0.5995,0.4107,0.0,0.0,0.2,0.082147,0.17936,0.23753,False
1,35,-19.4324,16.1412,0,1.0,0.466261,0.315178,0.383347,0.7149,0.5763,0.3961,0.0,0.0,0.2,0.079213,0.186683,0.247837,False
1,36,-19.4324,16.1889,0,1.0,0.462188,0.254778,0.343155,0.7521,0.5423,0.3745,0.0,0.0,0.3,0.112358,0.279224,0.261388,False
1,37,-19.4324,16.2365,0,1.0,0.458156,0.194031,0.298155,0.7948,0.4983,0.3465,0.0,0.4,0.0,0.1993,0.487495,0.27802,False
